date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:04	1213587/1213587	---M-Z	200	added ('OK')	text/html	etag:%226510c1498a3dc804f5d5c481ef695e50%22	https://riwatemplate.framer.website/	C:/My%20Web%20Sites/riva/riwatemplate.framer.website/index.html	(from )
19:33:04	105/105	---M-Z	200	added ('OK')	text/plain	etag:%22d5ed7f83143529845eed3140ed80b19e%22	https://riwatemplate.framer.website/robots.txt		(from )
19:33:05	196/196	---MC-	200	added ('OK')	image/png	etag:%22dfd03868f48827594d8b480032d75818%22	https://framerusercontent.com/images/JnaaGZS7KL32gq59BBRC4tn87XA.png	C:/My%20Web%20Sites/riva/framerusercontent.com/images/JnaaGZS7KL32gq59BBRC4tn87XA.png	(from https://riwatemplate.framer.website/)
19:33:07	873593/873593	---M-Z	200	added ('OK')	text/html	etag:%229ba92101facc7d6d554c527a4b179bea%22	https://riwatemplate.framer.website/about	C:/My%20Web%20Sites/riva/riwatemplate.framer.website/about.html	(from https://riwatemplate.framer.website/)
19:33:07	449078/449078	---M-Z	200	added ('OK')	text/html	etag:%22cb8539726f5294c47f8a1344b2972fa0%22	https://riwatemplate.framer.website/projects	C:/My%20Web%20Sites/riva/riwatemplate.framer.website/projects.html	(from https://riwatemplate.framer.website/)
19:33:08	22927/22927	---MC-	200	added ('OK')	image/png	etag:%229fc151d4056f88b1dddf17b0d20dff98%22	https://framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png	C:/My%20Web%20Sites/riva/framerusercontent.com/images/rR6HYXBrMmX4cRpXfXUOvpvpB0.png	(from https://riwatemplate.framer.website/)
19:33:08	462066/462066	---M-Z	200	added ('OK')	text/html	etag:%22a5fa536f38adb912665097e38f35eb43%22	https://riwatemplate.framer.website/contact	C:/My%20Web%20Sites/riva/riwatemplate.framer.website/contact.html	(from https://riwatemplate.framer.website/)
19:33:09	219601/219601	---MC-	200	added ('OK')	image/png	etag:%222a7b8ca555b47ace90591289c7f87495%22	https://framerusercontent.com/images/Vcxx9YiuyDqh1ZHN91IjT7ESi24.png?width=1807&height=860	C:/My%20Web%20Sites/riva/framerusercontent.com/images/Vcxx9YiuyDqh1ZHN91IjT7ESi2418b3.png	(from https://riwatemplate.framer.website/)
19:33:09	2607/2607	---MC-	200	added ('OK')	image/png	etag:%221f689ae8589bf9063ffc2a7db492ad8c%22	https://framerusercontent.com/images/hVw9kNp2FMDLwY3XrspYz1aNEAA.png?width=66&height=66	C:/My%20Web%20Sites/riva/framerusercontent.com/images/hVw9kNp2FMDLwY3XrspYz1aNEAAd257.png	(from https://riwatemplate.framer.website/)
19:33:09	145203/145203	---MC-	200	added ('OK')	image/png	etag:%22bf465984fe10ee1f704c543c78943c60%22	https://framerusercontent.com/images/SZqxjDXoucFymomkuMx5jvvERk.png?width=1796&height=860	C:/My%20Web%20Sites/riva/framerusercontent.com/images/SZqxjDXoucFymomkuMx5jvvERk32ea.png	(from https://riwatemplate.framer.website/)
